name                                                                                                                             TableName                                                                                                                        is_unique filter_definition                                                                                                                                                                                                                                               
ci_ledger_columns_history_internal                                                                                               ledger_columns_history_internal                                                                                                          1 NULL                                                                                                                                                                                                                                                            
ci_ledger_columns_history_internal_history                                                                                       ledger_columns_history_internal_history                                                                                                  0 NULL                                                                                                                                                                                                                                                            
ci_type_and_path                                                                                                                 db_ledger_digest_locations                                                                                                               1 NULL                                                                                                                                                                                                                                                            
plan_persist_qds_replicas_cidx                                                                                                   plan_persist_replicas                                                                                                                    1 NULL                                                                                                                                                                                                                                                            
plan_persist_qds_replicas_idx1                                                                                                   plan_persist_replicas                                                                                                                    0 NULL                                                                                                                                                                                                                                                            
plan_persist_plan_force_cidx                                                                                                     plan_persist_plan_forcing_locations                                                                                                      1 NULL                                                                                                                                                                                                                                                            
plan_persist_plan_force_idx1                                                                                                     plan_persist_plan_forcing_locations                                                                                                      1 NULL                                                                                                                                                                                                                                                            
plan_persist_runtime_stats_v2_cidx                                                                                               plan_persist_runtime_stats_v2                                                                                                            1 NULL                                                                                                                                                                                                                                                            
plan_persist_runtime_stats_v2_idx1                                                                                               plan_persist_runtime_stats_v2                                                                                                            0 NULL                                                                                                                                                                                                                                                            
plan_persist_runtime_stats_v2_idx2                                                                                               plan_persist_runtime_stats_v2                                                                                                            1 NULL                                                                                                                                                                                                                                                            
plan_persist_wait_stats_v2_cidx                                                                                                  plan_persist_wait_stats_v2                                                                                                               1 NULL                                                                                                                                                                                                                                                            
plan_persist_wait_stats_v2_idx1                                                                                                  plan_persist_wait_stats_v2                                                                                                               0 NULL                                                                                                                                                                                                                                                            
plan_persist_wait_stats_v2_idx2                                                                                                  plan_persist_wait_stats_v2                                                                                                               1 NULL                                                                                                                                                                                                                                                            
idx_firewall_rules_unique                                                                                                        ipv6_firewall_rules_table                                                                                                                0 NULL                                                                                                                                                                                                                                                            
idx_firewall_rules_ip_address_values                                                                                             ipv6_firewall_rules_table                                                                                                                0 NULL                                                                                                                                                                                                                                                            
idx_database_firewall_rules_unique                                                                                               ipv6_database_firewall_rules_table                                                                                                       0 NULL                                                                                                                                                                                                                                                            
idx_database_firewall_rules_ip_address_values                                                                                    ipv6_database_firewall_rules_table                                                                                                       0 NULL                                                                                                                                                                                                                                                            
IX_pause_resume_history                                                                                                          pause_resume_history                                                                                                                     1 NULL                                                                                                                                                                                                                                                            
idx_lcid                                                                                                                         fulltext_thesaurus_metadata_table                                                                                                        1 NULL                                                                                                                                                                                                                                                            
idx_term                                                                                                                         fulltext_thesaurus_state_table                                                                                                           1 NULL                                                                                                                                                                                                                                                            
